dataset_id,item,n_cats_meta,n_distinct,range_min,range_max,status
0056,beh_leadership,6,6,1,6,ok
0056,beh_criticism,6,6,1,6,ok
0056,beh_uninvolved,6,6,1,6,ok
0056,beh_selfesteem,6,6,1,6,ok
0056,beh_unfriendly,6,6,1,6,ok
0056,beh_reserved,6,6,1,6,ok
0056,status_admired,6,6,1,6,ok
0056,status_criticised,6,6,1,6,ok
0056,status_ignored,6,6,1,6,ok
0056,status_respected,6,6,1,6,ok
0056,status_upstaged,6,6,1,6,ok
0056,status_sidelined,6,6,1,6,ok
0056,int_proud,6,6,1,6,ok
0056,int_success,6,6,1,6,ok
0056,int_superior,6,6,1,6,ok
0056,int_angry,6,6,1,6,ok
0056,int_envious,6,6,1,6,ok
0056,int_resentful,6,6,1,6,ok
0056,int_ashamed,6,6,1,6,ok
0056,int_insecure,6,6,1,6,ok
